,dia_semana,qtd,ano
0,domingo,45193,2007
1,domingo,45470,2008
2,domingo,50251,2009
3,domingo,60461,2010
4,domingo,63647,2011
5,domingo,61200,2012
6,domingo,60237,2013
7,domingo,55106,2014
8,domingo,42530,2015
9,domingo,36850,2016
10,domingo,37737,2017
11,domingo,29951,2018
12,domingo,29679,2019
13,domingo,26711,2020
14,domingo,27559,2021
15,domingo,29183,2022
16,domingo,30585,2023
17,domingo,20307,2024
18,segunda,35779,2007
19,segunda,40076,2008
20,segunda,46274,2009
21,segunda,53859,2010
22,segunda,56226,2011
23,segunda,54678,2012
24,segunda,56455,2013
25,segunda,51149,2014
26,segunda,37412,2015
27,segunda,28810,2016
28,segunda-feira,30056,2017
29,segunda-feira,24023,2018
30,segunda-feira,23639,2019
31,segunda-feira,21625,2020
32,segunda-feira,22157,2021
33,segunda-feira,22904,2022
34,segunda-feira,25078,2023
35,segunda-feira,17913,2024
36,terça,32758,2007
37,terça,37436,2008
38,terça,42250,2009
39,terça,49259,2010
40,terça,51507,2011
41,terça,49236,2012
42,terça,51865,2013
43,terça,46557,2014
44,terça,33309,2015
45,terça,25368,2016
46,terça-feira,26696,2017
47,terça-feira,22022,2018
48,terça-feira,21689,2019
49,terça-feira,19848,2020
50,terça-feira,20026,2021
51,terça-feira,20469,2022
52,terça-feira,22459,2023
53,terça-feira,16047,2024
54,quarta,33590,2007
55,quarta,39644,2008
56,quarta,43531,2009
57,quarta,51435,2010
58,quarta,52898,2011
59,quarta,50631,2012
60,quarta,52821,2013
61,quarta,48410,2014
62,quarta,34686,2015
63,quarta,26388,2016
64,quarta-feira,27532,2017
65,quarta-feira,22811,2018
66,quarta-feira,21720,2019
67,quarta-feira,20590,2020
68,quarta-feira,20881,2021
69,quarta-feira,21210,2022
70,quarta-feira,23380,2023
71,quarta-feira,16840,2024
72,quinta,35311,2007
73,quinta,39672,2008
74,quinta,46628,2009
75,quinta,53063,2010
76,quinta,55830,2011
77,quinta,53840,2012
78,quinta,54832,2013
79,quinta,49676,2014
80,quinta,36455,2015
81,quinta,28003,2016
82,quinta-feira,29693,2017
83,quinta-feira,23584,2018
84,quinta-feira,22871,2019
85,quinta-feira,21125,2020
86,quinta-feira,21421,2021
87,quinta-feira,21281,2022
88,quinta-feira,24167,2023
89,quinta-feira,16640,2024
90,sexta,43047,2007
91,sexta,48934,2008
92,sexta,55213,2009
93,sexta,65632,2010
94,sexta,66538,2011
95,sexta,66663,2012
96,sexta,67465,2013
97,sexta,60796,2014
98,sexta,42044,2015
99,sexta,34072,2016
100,sexta-feira,34563,2017
101,sexta-feira,27902,2018
102,sexta-feira,27459,2019
103,sexta-feira,25266,2020
104,sexta-feira,26506,2021
105,sexta-feira,26548,2022
106,sexta-feira,28143,2023
107,sexta-feira,19890,2024
108,sábado,43461,2007
109,sábado,47659,2008
110,sábado,52996,2009
111,sábado,61702,2010
112,sábado,65643,2011
113,sábado,60668,2012
114,sábado,62145,2013
115,sábado,56812,2014
116,sábado,42616,2015
117,sábado,36770,2016
118,sábado,37960,2017
119,sábado,29768,2018
120,sábado,29047,2019
121,sábado,27087,2020
122,sábado,27744,2021
123,sábado,29220,2022
124,sábado,29543,2023
125,sábado,20489,2024
