fase_dia,qtd,ano
Pleno dia,149815,2007
Pleno dia,172012,2008
Pleno dia,197460,2009
Pleno dia,230590,2010
Pleno dia,243079,2011
Pleno dia,238706,2012
Pleno dia,248053,2013
Pleno dia,225478,2014
Pleno dia,157125,2015
Pleno dia,121395,2016
Pleno dia,127269,2017
Pleno dia,101532,2018
Pleno dia,97595,2019
Pleno dia,90095,2020
Pleno dia,91483,2021
Pleno dia,94437,2022
Pleno dia,103092,2023
Pleno dia,71300,2024
Plena noite,88052,2007
Plena noite,92875,2008
Plena noite,101726,2009
Plena noite,120633,2010
Plena noite,123981,2011
Plena noite,114858,2012
Plena noite,112133,2013
Plena noite,102439,2014
Plena noite,81692,2015
Plena noite,70376,2016
Anoitecer,17670,2007
Anoitecer,18822,2008
Anoitecer,21983,2009
Anoitecer,24864,2010
Anoitecer,25601,2011
Anoitecer,24895,2012
Anoitecer,25343,2013
Anoitecer,22881,2014
Anoitecer,16139,2015
Anoitecer,12935,2016
Anoitecer,12870,2017
Anoitecer,10021,2018
Anoitecer,10067,2019
Anoitecer,9324,2020
Anoitecer,9709,2021
Anoitecer,9615,2022
Anoitecer,10107,2023
Anoitecer,7236,2024
Amanhecer,13558,2007
Amanhecer,15173,2008
Amanhecer,15969,2009
Amanhecer,19288,2010
Amanhecer,19621,2011
Amanhecer,18441,2012
Amanhecer,20290,2013
Amanhecer,17699,2014
Amanhecer,14072,2015
Amanhecer,11554,2016
Amanhecer,11274,2017
Amanhecer,8718,2018
Amanhecer,8487,2019
Amanhecer,7201,2020
Amanhecer,7621,2021
Amanhecer,8595,2022
Amanhecer,9084,2023
Amanhecer,6455,2024
Plena Noite,72824,2017
Plena Noite,59790,2018
Plena Noite,59955,2019
Plena Noite,55632,2020
Plena Noite,57481,2021
Plena Noite,58168,2022
Plena Noite,61072,2023
Plena Noite,43135,2024
