,br,qtd
0,40,18
1,381,18
2,230,18
3,262,18
4,153,18
5,104,18
6,393,18
7,70,18
8,50,18
9,174,18
10,290,18
11,277,18
12,470,18
13,282,18
14,365,18
15,476,18
16,376,18
17,163,18
18,324,18
19,60,18
20,232,18
21,343,18
22,135,18
23,222,18
24,386,18
25,280,18
26,80,18
27,20,18
28,226,18
29,488,18
30,410,18
31,402,18
32,308,18
33,432,18
34,416,18
35,418,18
36,495,18
37,287,18
38,465,18
39,319,18
40,110,18
41,356,18
42,425,18
43,429,18
44,412,18
45,235,18
46,251,18
47,242,18
48,304,18
49,463,18
50,424,18
51,419,18
52,392,18
53,459,18
54,407,18
55,285,18
56,10,18
57,405,18
58,317,18
59,469,18
60,427,18
61,146,18
62,267,18
63,493,18
64,210,18
65,471,18
66,401,18
67,361,18
68,468,18
69,414,18
70,406,18
71,293,18
72,259,18
73,156,18
74,330,18
75,480,18
76,472,18
77,367,18
78,354,18
79,373,18
80,428,18
81,408,18
82,423,18
83,452,18
84,316,18
85,364,18
86,101,18
87,116,18
88,158,18
89,272,17
90,0,17
91,447,17
92,30,16
93,487,16
94,369,16
95,467,16
96,359,15
97,485,15
98,155,14
99,420,14
100,415,13
101,448,12
102,377,12
103,421,12
104,349,12
105,404,11
106,473,11
107,426,10
108,436,10
109,422,9
110,403,9
111,122,8
112,435,8
113,434,8
114,450,7
115,498,7
116,460,7
117,433,6
118,474,6
119,482,6
120,484,5
121,265,5
122,453,4
123,352,4
124,60,3
125,222,3
126,470,3
127,400,3
128,277,3
129,10,3
130,40,3
131,402,3
132,418,3
133,361,3
134,251,3
135,408,3
136,476,3
137,287,3
138,356,3
139,1,3
140,20,3
141,430,3
142,290,3
143,324,3
144,163,3
145,104,3
146,343,3
147,485,3
148,120,3
149,135,3
150,393,3
151,174,3
152,50,3
153,364,3
154,116,3
155,101,3
156,158,3
157,232,3
158,386,3
159,242,3
160,304,3
161,405,3
162,488,3
163,469,3
164,156,3
165,367,3
166,414,3
167,146,3
168,354,3
169,472,3
170,410,3
171,460,3
172,80,3
173,70,3
174,293,3
175,373,3
176,259,3
177,428,3
178,226,3
179,423,3
180,452,3
181,471,3
182,381,3
183,316,3
184,262,3
185,153,3
186,230,3
187,282,3
188,376,3
189,468,3
190,280,3
191,480,3
192,308,3
193,377,3
194,495,3
195,412,3
196,330,3
197,432,3
198,407,3
199,110,3
200,465,3
201,(null),3
202,419,3
203,429,3
204,406,3
205,319,3
206,459,3
207,392,3
208,235,3
209,427,3
210,210,3
211,493,3
212,450,3
213,267,3
214,365,3
215,285,3
216,317,3
217,424,3
218,401,3
219,463,3
220,425,3
221,457,2
222,601,2
223,601,2
224,475,2
225,605,2
226,451,2
227,404,2
228,416,2
229,342,2
230,474,2
231,216,2
232,7,2
233,437,2
234,303,2
235,270,2
236,552,1
237,505,1
238,183,1
239,241,1
240,462,1
241,605,1
242,473,1
243,349,1
244,4,1
245,499,1
246,0,1
247,447,1
248,359,1
249,487,1
250,155,1
251,467,1
252,420,1
253,363,1
254,494,1
255,851,1
256,268,1
257,681,1
258,37,1
259,441,1
260,380,1
261,617,1
262,661,1
263,272,1
264,560,1
265,221,1
266,84,1
267,489,1
268,28,1
269,140,1
270,580,1
271,654,1
272,501,1
273,178,1
274,687,1
275,634,1
276,433,1
277,604,1
278,477,1
279,383,1
280,660,1
281,241,1
282,417,1
283,211,1
284,2,1
285,250,1
286,388,1
287,332,1
288,884,1
289,184,1
290,719,1
291,767,1
292,337,1
293,323,1
294,466,1
295,186,1
296,648,1
297,152,1
298,591,1
299,931,1
300,369,1
301,958,1
302,707,1
303,154,1
304,298,1
305,544,1
306,142,1
307,490,1
308,756,1
309,409,1
310,173,1
311,604,1
312,870,1
313,147,1
314,4,1
315,759,1
316,47,1
317,869,1
318,143,1
319,351,1
320,191,1
321,762,1
322,107,1
323,208,1
