,Unnamed: 0,condicao_metereologica,qtd,ano
0,0,Céu Claro,132793,2007
1,1,Céu Claro,140409,2008
2,2,Céu Claro,155286,2009
3,3,Céu Claro,194515,2010
4,4,Céu Claro,199544,2011
5,5,Céu Claro,203704,2012
6,6,Céu Claro,199260,2013
7,7,Céu Claro,186613,2014
8,8,Céu Claro,133608,2015
9,9,Céu Claro,111835,2016
10,10,Nublado,45322,2007
11,11,Nublado,55332,2008
12,12,Nublado,64062,2009
13,13,Nublado,69485,2010
14,14,Nublado,76273,2011
15,15,Nublado,65715,2012
16,16,Nublado,72777,2013
17,17,Nublado,65508,2014
18,18,Nublado,51782,2015
19,19,Nublado,39668,2016
20,20,Nublado,40056,2017
21,21,Nublado,32124,2018
22,22,Nublado,29721,2019
23,23,Nublado,26590,2020
24,24,Nublado,28083,2021
25,25,Nublado,27111,2022
26,26,Nublado,26693,2023
27,27,Nublado,17828,2024
28,28,Chuva,43157,2007
29,29,Chuva,54407,2008
30,30,Chuva,62177,2009
31,31,Chuva,65010,2010
32,32,Chuva,69224,2011
33,33,Chuva,56477,2012
34,34,Chuva,64555,2013
35,35,Chuva,52836,2014
36,36,Chuva,41942,2015
37,37,Chuva,32771,2016
38,38,Chuva,30617,2017
39,39,Chuva,22292,2018
40,40,Chuva,18963,2019
41,41,Chuva,17750,2020
42,42,Chuva,17339,2021
43,43,Chuva,18562,2022
44,44,Chuva,18048,2023
45,45,Chuva,11689,2024
46,46,Sol,37623,2007
47,47,Sol,39212,2008
48,48,Sol,45106,2009
49,49,Sol,53544,2010
50,50,Sol,55118,2011
51,51,Sol,59167,2012
52,52,Sol,56479,2013
53,53,Sol,53396,2014
54,54,Sol,33601,2015
55,55,Sol,25340,2016
56,56,Sol,17926,2017
57,57,Sol,14583,2018
58,58,Sol,14100,2019
59,59,Sol,12323,2020
60,60,Sol,11519,2021
61,61,Sol,10362,2022
62,62,Sol,10911,2023
63,63,Sol,7048,2024
64,64,Ignorado,6086,2007
65,65,Ignorado,5639,2008
66,66,Ignorado,6039,2009
67,67,Ignorado,7458,2010
68,68,Ignorado,6763,2011
69,69,Ignorado,7060,2012
70,70,Ignorado,7272,2013
71,71,Ignorado,5582,2014
72,72,Ignorado,4581,2015
73,73,Ignorado,3742,2016
74,74,Nevoeiro/Neblina,3376,2007
75,75,Nevoeiro/Neblina,3172,2008
76,76,Nevoeiro/Neblina,3710,2009
77,77,Nevoeiro/Neblina,4176,2010
78,78,Nevoeiro/Neblina,4164,2011
79,79,Nevoeiro/Neblina,3672,2012
80,80,Nevoeiro/Neblina,4156,2013
81,81,Nevoeiro/Neblina,3184,2014
82,82,Nevoeiro/Neblina,2710,2015
83,83,Nevoeiro/Neblina,2349,2016
84,84,Vento,675,2007
85,85,Vento,619,2008
86,86,Vento,689,2009
87,87,Vento,1053,2010
88,88,Vento,1113,2011
89,89,Vento,1044,2012
90,90,Vento,1216,2013
91,91,Vento,1298,2014
92,92,Vento,749,2015
93,93,Vento,513,2016
94,94,Vento,485,2017
95,95,Vento,334,2018
96,96,Vento,346,2019
97,97,Vento,292,2020
98,98,Vento,395,2021
99,99,Vento,303,2022
100,100,Vento,245,2023
101,101,Vento,196,2024
102,110,Granizo,42,2007
103,111,Granizo,78,2008
104,112,Granizo,44,2009
105,113,Granizo,95,2010
106,114,Granizo,60,2011
107,115,Granizo,56,2012
108,116,Granizo,70,2013
109,117,Granizo,56,2014
110,118,Granizo,27,2015
111,119,Granizo,33,2016
112,120,Granizo,2,2017
113,121,Granizo,6,2018
114,122,Granizo,8,2019
115,123,Granizo,5,2020
116,124,Granizo,6,2021
117,125,Granizo,10,2022
118,126,Granizo,14,2023
119,127,Granizo,3,2024
120,128,Neve,20,2007
121,129,Neve,12,2008
122,130,Neve,21,2009
123,131,Neve,38,2010
124,132,Neve,24,2011
125,133,Neve,10,2012
126,134,Neve,35,2013
127,135,Neve,19,2014
128,136,Neve,46,2015
129,137,Neve,3,2016
130,138,Neve,3,2017
131,139,Neve,1,2019
132,140,Neve,2,2020
133,141,Neve,5,2021
134,142,Neve,6,2022
135,143,Neve,1,2023
136,144,Neve,2,2024
137,145,Céu Claro,121861,2017
138,146,Céu Claro,100360,2018
139,147,Céu Claro,102942,2019
140,148,Céu Claro,96845,2020
141,149,Céu Claro,100216,2021
142,150,Céu Claro,104438,2022
143,151,Céu Claro,117270,2023
144,152,Céu Claro,83827,2024
145,153,Garoa/Chuvisco,7773,2017
146,154,Garoa/Chuvisco,5940,2018
147,155,Garoa/Chuvisco,5991,2019
148,156,Garoa/Chuvisco,5372,2020
149,157,Garoa/Chuvisco,5577,2021
150,158,Garoa/Chuvisco,6326,2022
151,159,Garoa/Chuvisco,6235,2023
152,160,Garoa/Chuvisco,4635,2024
153,161,Ignorado,3342,2017
154,162,Ignorado,2663,2018
155,163,Ignorado,2361,2019
156,164,Ignorado,1815,2020
157,165,Ignorado,1857,2021
158,166,Ignorado,2233,2022
159,167,Ignorado,2013,2023
160,168,Ignorado,1355,2024
161,169,Nevoeiro/Neblina,2172,2017
162,170,Nevoeiro/Neblina,1759,2018
163,171,Nevoeiro/Neblina,1671,2019
164,172,Nevoeiro/Neblina,1258,2020
165,173,Nevoeiro/Neblina,1297,2021
166,174,Nevoeiro/Neblina,1464,2022
167,175,Nevoeiro/Neblina,1925,2023
168,176,Nevoeiro/Neblina,1543,2024
